,Name,Artist,Date,Genre,GrammyAward,Energy,Danceability,Tempo,Valence,Peak.position,Weeks.on.chart,Avg.rank
159,"JESUS, TAKE THE WHEEL",CARRIE UNDERWOOD,2006,COUNTRY,2,0.518,0.359,76.572,0.135,20.0,24.0,33.833333333333336
160,JOANNE (WHERE DO YOU THINK YOU'RE GOIN'?),LADY GAGA,2018,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
161,JOLENE,PENTATONIX ,2016,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
162,JUST THE WAY YOU ARE,BRUNO MARS,2010,POP,1,0.841,0.635,109.021,0.424,1.0,48.0,18.708333333333332
163,KEEP ON THE SUNNY SIDE,JUNE CARTER CASH,2003,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
164,KID SISTER,THE TIME JUMPERS,2016,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
165,KILLER DILLER BLUES,ALABAMA SHAKES,2017,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
166,LADY MARMALADE,CHRISTINA AGUILERA,2001,POP,1,0.808,0.756,109.902,0.638,1.0,20.0,18.38888888888889
167,LAKE BY THE OCEAN,MAXWELL,2016,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
168,LAST NAME,CARRIE UNDERWOOD,2008,COUNTRY,1,0.869,0.395,159.833,0.688,19.0,20.0,53.55
169,LAZARETTO,JACK WHITE,2014,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
170,LET IT GO,IDINA MENZEL,2014,COMPOSING/ARRANGING,1,0.485,0.543,136.961,0.371,5.0,33.0,23.96969696969697
171,LET'S GET IT STARTED,THE BLACK EYED PEAS,2004,RAP,1,0.547,0.803,137.93,0.802,21.0,20.0,38.1
172,LETTER TO ME,BRAD PAISLEY,2008,COUNTRY,1,0.492,0.532,79.242,0.366,40.0,20.0,60.3
173,LITTLE GHETTO BOY,LALAH HATHAWAY,2015,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
174,LITTLE THINGS,INDIAARIE,2002,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
175,LIVE LIKE YOU WERE DYING,TIM MCGRAW,2004,COUNTRY,2,0.546,0.416,159.929,0.418,29.0,23.0,38.91304347826087
176,LOLLIPOP,LIL WAYNE ,2008,RAP,1,0.428,0.829,148.075,0.45,1.0,28.0,14.321428571428571
177,LONELY BOY,THE BLACK KEYS,2012,ROCK,2,0.872,0.356,166.3,0.607,64.0,20.0,80.75
178,LOSE YOURSELF,EMINEM,2003,RAP,2,0.735,0.684,171.383,0.06,1.0,23.0,10.565217391304348
179,LOVE OF MY LIFE (AN ODE TO HIP HOP),ERYKAH BADU ,2002,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
180,LOVE ON TOP,BEYONCÉ,2012,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
181,LOVESTONED/I THINK SHE KNOWS,JUSTIN TIMBERLAKE,2007,DANCE/ELECTRONIC MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
182,LOYALTY.,KENDRICK LAMAR ,2017,RAP,1,0.535,0.658,110.684,0.419,14.0,26.0,50.73076923076923
183,LUCKY,COURTNEY JOHN,2009,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
184,MAKE IT MINE,JASON MRAZ,2009,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
185,MAKES ME WONDER,MAROON 5,2007,POP,1,0.851,0.803,113.996,0.881,1.0,26.0,23.695652173913043
186,MAN! I FEEL LIKE A WOMAN!,SHANIA TWAIN,1999,COUNTRY,1,0.889,0.664,124.986,0.729,23.0,28.0,56.13333333333333
187,MARIA MARIA,SANTANA,1999,POP,1,0.601,0.777,97.911,0.68,1.0,26.0,10.5
188,MASSEDUCTION,ST VINCENT,2018,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
189,MEAN,TAYLOR SWIFT,2011,COUNTRY,2,0.761,0.568,163.974,0.789,11.0,20.0,46.2
190,MESSENGERS,LECRAE ,2014,GOSPEL/CONTEMPORARY CHRISTIAN MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
191,MILES BEYOND,JOHN MCLAUGHLIN,2017,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
192,MISS INDEPENDENT,NE YO,2008,R&B,2,0.683,0.673,171.86,0.713,7.0,28.0,21.785714285714285
193,MONEY MAKER,LUDACRIS ,2006,RAP,1,0.598,0.551,78.756,0.612,1.0,25.0,22.91304347826087
194,MS. JACKSON,OUTKAST,2001,RAP,1,0.806,0.843,94.948,0.613,1.0,23.0,17.0
195,MY APOCALYPSE,METALLICA,2008,ROCK,1,0.993,0.262,199.915,0.279,100.0,1.0,67.0
196,MY BOO,USHER,2004,R&B,1,0.507,0.662,86.412,0.676,1.0,26.0,9.0
197,MY CHURCH,MAREN MORRIS,2016,COUNTRY,1,0.683,0.576,76.971,0.39,50.0,20.0,61.1
198,MY HUMPS,THE BLACK EYED PEAS,2006,POP,1,0.682,0.801,123.95,0.586,3.0,36.0,19.285714285714285
199,MY NAME IS,EMINEM,1999,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200,N****S IN PARIS,LIANNE LA HAVAS,2012,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
201,NEED YOU NOW,LADY ANTEBELLUM,2010,GENERAL,2,0.659,0.587,123.976,0.29,2.0,60.0,24.1
202,NEVER ALONE,TORI KELLY ,2018,GOSPEL/CONTEMPORARY CHRISTIAN MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
203,NEVER HAVE TO BE ALONE,CECE WINANS,2017,GOSPEL/CONTEMPORARY CHRISTIAN MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
204,NEW FANG,THEM CROOKED VULTURES,2010,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
205,NEXT BIG THING,VINCE GILL,2003,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
206,NO GREATER LOVE,SMOKIE NORFUL,2014,GOSPEL/CONTEMPORARY CHRISTIAN MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
207,NO ONE,ALICIA KEYS,2007,R&B,2,0.549,0.644,90.04,0.167,1.0,39.0,12.64102564102564
208,NO PROBLEM,CHANCE THE RAPPER ,2016,RAP,1,0.795,0.652,135.018,0.788,43.0,26.0,75.88461538461539
209,NOT AFRAID,EMINEM,2010,RAP,1,,,,,1.0,25.0,14.6
210,NOT READY TO MAKE NICE,DIXIE CHICKS,2006,GENERAL,2,,,,,4.0,24.0,61.583333333333336
211,ON TO THE NEXT ONE,CASSIDY,2010,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
212,ONLY GIRL (IN THE WORLD),RIHANNA,2010,DANCE/ELECTRONIC MUSIC,1,0.706,0.789,125.911,0.638,1.0,27.0,16.25925925925926
213,ORBITS,WAYNE SHORTER,2013,JAZZ,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
214,ORDINARY PEOPLE,JOHN LEGEND,2005,R&B,1,0.731,0.475,79.148,0.527,24.0,20.0,42.6
215,OTIS,JAY Z,2011,RAP,1,0.631,0.754,94.577,0.432,12.0,20.0,50.7
216,PEARLS,BAND OF SKULLS,2009,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
217,PLEASE COME HOME,GARY CLARK JR,2013,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
218,PLEASE READ THE LETTER,ALISON KRAUSS,2007,GENERAL,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
219,POKER FACE,LADY GAGA,2009,DANCE/ELECTRONIC MUSIC,1,0.806,0.851,118.999,0.787,1.0,40.0,22.95
220,PONTOON,LITTLE BIG TOWN,2012,COUNTRY,1,0.757,0.232,78.665,0.436,22.0,20.0,39.25
221,PRETTY WINGS,MAXWELL,2009,R&B,1,0.402,0.563,115.561,0.2,33.0,23.0,55.78260869565217
222,PUT YOUR LIGHTS ON,SANTANA ,1999,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
223,RADIO NOWHERE,BRUCE SPRINGSTEEN,2007,ROCK,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
224,RADIOACTIVE,IMAGINE DRAGONS,2013,ROCK,1,0.784,0.448,136.245,0.236,3.0,87.0,32.81609195402299
225,RATHER BE,CLEAN BANDIT ,2014,DANCE/ELECTRONIC MUSIC,1,0.586,0.799,120.97,0.549,10.0,31.0,29.06451612903226
226,REALLY LOVE,D'ANGELO,2015,R&B,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
227,REDBONE,CHILDISH GAMBINO,2017,R&B,1,0.347,0.743,160.143,0.572,12.0,44.0,45.68181818181818
228,REDNECK WOMAN,GRETCHEN WILSON,2004,COUNTRY,1,0.825,0.499,185.069,0.753,22.0,20.0,45.75
229,REHAB,AMY WINEHOUSE,2007,POP,1,0.558,0.407,71.815,0.777,9.0,20.0,44.7
230,RICH WOMAN,ALISON KRAUSS,2008,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
231,RIDIN,CHAMILLIONAIRE ,2006,RAP,1,0.613,0.791,143.017,0.896,1.0,31.0,23.79310344827586
232,ROLLING IN THE DEEP,ADELE,2011,GENERAL,2,0.457,0.799,105.006,0.528,1.0,65.0,24.723076923076924
233,ROYALS,LORDE,2013,POP,1,0.428,0.674,84.878,0.337,1.0,44.0,18.522727272727273
