,Name,Artist,Date,Genre,GrammyAward,Energy,Danceability,Tempo,Valence,Peak.position,Weeks.on.chart,Avg.rank
234,RUN,BRYSON TILLER,2017,ROCK,1,0.756,0.646,193.88,0.602,100.0,1.0,91.0
235,RUN THIS TOWN,JAY Z,2009,RAP,1,0.924,0.632,86.844,0.441,2.0,23.0,19.043478260869566
236,SAY,JOHN MAYER,2008,POP,1,0.9,0.683,117.036,0.962,12.0,28.0,49.0
237,SAY MY NAME,DESTINY'S CHILD,2000,R&B,1,0.678,0.713,138.009,0.734,1.0,32.0,20.612903225806452
238,SAY SOMETHING,A GREAT BIG WORLD,2014,POP,1,0.146,0.453,137.905,0.0915,4.0,26.0,14.576923076923077
239,SCAR TISSUE,RED HOT CHILI PEPPERS,1999,ROCK,1,0.717,0.595,88.969,0.547,9.0,29.0,21.347826086956523
240,SCARY MONSTERS AND NICE SPRITES,SKRILLEX,2011,DANCE/ELECTRONIC MUSIC,1,0.944,0.523,139.997,0.324,69.0,14.0,85.64285714285714
241,SCHISM,TOOL,2001,ROCK,1,0.714,0.567,107.441,0.191,67.0,20.0,74.35
242,SCREAM A.K.A. ITCHIN',MISSY ELLIOTT,2001,RAP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
243,SEE THAT MY GRAVE IS KEPT CLEAN,MAVIS STAPLES,2015,AMERICAN ROOTS MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
244,SET FIRE TO THE RAIN [LIVE],ADELE,2017,POP,1,0.67,0.603,107.993,0.446,1.0,43.0,36.44186046511628
245,SEVEN NATION ARMY,THE WHITE STRIPES,2003,ROCK,1,0.446,0.743,123.596,0.278,76.0,20.0,82.25
246,SEXY BACK,DJ NASTY,2006,DANCE/ELECTRONIC MUSIC,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
247,SHAKE YA TAILFEATHER,MURPHY LEE,2003,RAP,1,0.733,0.715,87.665,0.897,1.0,30.0,17.74074074074074
248,SHALLOW,LADY GAGA,2018,POP,1,0.385,0.572,95.799,0.323,1.0,39.0,23.128205128205128
249,SHAPE OF YOU,ED SHEERAN,2017,POP,1,0.652,0.825,95.977,0.931,1.0,59.0,11.310344827586206
250,SHE WALKS THIS EARTH (SOBERANA ROSA),STING,2000,POP,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
251,SHINE,DOLLY PARTON,2001,COUNTRY,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
252,SHINE,JOHN LENNON,2010,R&B,1,0.829,0.412,191.476,0.677,9.0,25.0,24.72
253,SINCE U BEEN GONE,KELLY CLARKSON,2005,POP,1,0.741,0.662,131.0,0.404,2.0,46.0,20.8
