genre
A CAPPELLA
ELECTRO-SOUL
ELECTRONIC
ELECTRONIC POP
ELECTRONIC ROCK
ELECTRONIC TRAP
ELECTRONICA
EM PORTUGU\XC3\XAAS
EMO
EMO RAP
EN ESPA\XC3\XB1OL
ENGLISH TRANSLATION
EURODANCE
EXPERIMENTAL
EXPERIMENTAL FOLK
EXPERIMENTAL POP
EXPERIMENTAL ROCK
FAIRY TALE / NURSERY RHYME
FASHION
FEMINISM
FOLK
FOLK ROCK
FOOTBALL (AMERICAN)
FOOTBALL (SOCCER)
FRANCE
FREESTYLE
FRENCH POP
FRENCH R&;B
FRENCH RAP
FUNK
FUNK NACIONAL
FUNK ROCK
FUNK-POP
FUTURE BASS
G-FUNK
GAMING
GANGSTA RAP
GARAGE PUNK
GARAGE ROCK
GIRL GROUP
GLAM ROCK
GLITCH
GLITCH HOP
GO-GO
GOOGLE
GOSPEL
GOTHIC METAL
GOTHIC ROCK
GRIME
GROOVE METAL
GRUNGE
HAITI
HALLOWEEN
HARD BASS
HARD ROCK
HARDCORE HIP-HOP
HEARTLAND ROCK
HEAVY METAL
HI-NRG
HIP-HOP
HOCKEY
HOLIDAY
HORRORCORE
HOUSE
HYPHY
INDIE
INDIE POP
INDIE RAP
INDIE ROCK
INDUSTRIAL
INDUSTRIAL METAL
INDUSTRIAL ROCK
INSTRUMENTAL HIP-HOP
INTERLUDE
IRELAND
ISLAND MUSIC
ITALY
J-POP
JAMAICA
JAPAN
JAPANESE
JAZZ
JAZZ FUSION
JAZZ RAP
JAZZ-FUNK
K-POP (\XEC\XBC\X80\XEC\X9D\XB4\XED\X8C\X9D)
KOREAN
LATIN MUSIC
LATIN POP
LATIN ROCK
LATIN TRAP
LATIN URBAN
LGBTQ+
LITERATURE
LIVE
LO-FI
LULLABY
MARVEL
MASHUP
MELODIC METALCORE
MEMES
MEMORIAL
MERENGUE
METAL
METALCORE
METALRAP
MILITARY
MOTOWN
MUSICALS
M\XC3\XA9XICO
NBA
NEDERLAND
NEO SOUL
NEO-PSYCHEDELIA
NEW AGE
NEW JACK SWING
NEW ORLEANS R&;B
NEW WAVE
NEW ZEALAND
NEWS
NIGERIA
NON-MUSIC
NORGE
NU DISCO
NU-METAL
OPERA
ORCHESTRAL
P-FUNK
PARODY
PHILOSOPHY
PIANO
POLITICS
POLSKA
POP
POP COUNTRY
POP-PUNK
POP-ROCK
PORTUGAL
POSSE CUT
POST-BOP
POST-GRUNGE
POST-HARDCORE
POST-PUNK
POST-PUNK REVIVAL
POWER METAL
POWER POP
PRODUCER
PROGRESSIVE HOUSE
PROGRESSIVE METAL
PROGRESSIVE ROCK
PROTEST SONGS
PSYCHEDELIC
PSYCHEDELIC ROCK
PSYCHEDELIC SOUL
PUERTO RICO
PUNK ROCK
QU\XC3\XA9BEC
R&;B
RACE / ETHNICITY
RAGGA
RAP
RAP ROCK
RAPCORE
REGGAE
REGGAETON
RELIGION
REMIX
RETRO
ROCK
ROCKABILLY
ROMANTICISM LITERATURE
ROOTS
SALSA
SATIRE
SCANDINAVIA
SCANDIPOP
SCREAMO
SCREEN
SERTANEJO
SHADYXV
SING ALONG
SINGER-SONGWRITER
SKA
SKA PUNK
SKATE PUNK
SOCA
SOUL
SOUL JAZZ
SOUL POP
SOUNDTRACK
SOUTH AFRICA
SPACE ROCK
SPANISH MUSIC
SPEED METAL
SPOKEN WORD
SPORTS
STONER ROCK
SVERIGE
SWING
SYMPHONIC METAL
SYNTH ROCK
SYNTH-POP
SYNTHWAVE
TECH
TECHNO
TEEN POP
THE VOICE
THEME SONG
THRASH METAL
TRANCE
TRANSLATION
TRAP
TRAP METAL
TRIP-HOP
TROPICAL HOUSE
TV
UK
UK RAP
UNDERGROUND HIP-HOP
WEST COAST
WORLD MUSIC
WORSHIP
YOUTUBE
\XD0\XA0\XD0\XBE\XD1\X81\XD1\X81\XD0\XB8\XD1\X8F (RUSSIA)
